INFO:root:/homes/hf17/Documents/Paper/E3DNet/tools/finetuning_E3DNet.py --gpus 0,1,2,3,4 --output ./ckpt/E3DNet_ckpt_ucf101 --pretrained_dir ./ckpt/E3DNet_ckpt_kinetics --model_prefix test --load_epoch 26 --cudnn_tune fastest --batch_per_device 8 --n_frame 16 --lr 0.0001 --wd 0.005 --num_class 101 --num_epoch 15 --datadir /mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/ --lr_scheduler_step 15
INFO:root:Namespace(batch_per_device=8, batch_size=16, begin_epoch=0, bn_mom=0.9, crop_size=112, cudnn_tune='fastest', datadir='/mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/', epoch_size=100000, gpus='0,1,2,3,4', load_epoch=26, lr=0.0001, lr_scheduler_factor=0.1, lr_scheduler_step=15, model_depth=34, model_prefix='test', momentum=0.9, n_frame=16, num_class=101, num_epoch=15, optimizer='sgd', output='./ckpt/E3DNet_ckpt_ucf101', plot=0, pretrained_dir='./ckpt/E3DNet_ckpt_kinetics', scale_h=128, scale_w=171, wd=0.005, workspace=512)
INFO:root:number of gpu 5
INFO:root:Running on GPUs: [0, 1, 2, 3, 4]
INFO:root:Using epoch size: 100000
INFO:lib.data:load data from /mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/, num clip_lst 9537
INFO:lib.data:load data from /mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/, num clip_lst 3783
INFO:root:Epoch[1] Batch [300-320]	Speed: 16.54 samples/sec	accuracy=0.636250
INFO:root:Epoch[1] Batch [320-340]	Speed: 16.62 samples/sec	accuracy=0.577500
INFO:root:Epoch[1] Batch [340-360]	Speed: 16.43 samples/sec	accuracy=0.598750
INFO:root:Epoch[1] Batch [360-380]	Speed: 16.50 samples/sec	accuracy=0.638750
INFO:root:Epoch[1] Batch [380-400]	Speed: 16.59 samples/sec	accuracy=0.630000
INFO:root:Epoch[1] Batch [400-420]	Speed: 16.48 samples/sec	accuracy=0.651250
INFO:root:Epoch[1] Batch [420-440]	Speed: 16.50 samples/sec	accuracy=0.632500
INFO:root:Epoch[1] Batch [440-460]	Speed: 16.45 samples/sec	accuracy=0.615000
INFO:root:Epoch[1] Batch [460-480]	Speed: 16.46 samples/sec	accuracy=0.646250
INFO:root:Epoch[1] Batch [480-500]	Speed: 16.59 samples/sec	accuracy=0.656250
INFO:root:Epoch[1] Batch [500-520]	Speed: 16.42 samples/sec	accuracy=0.650000
INFO:root:Epoch[1] Batch [520-540]	Speed: 16.58 samples/sec	accuracy=0.625000
INFO:root:Epoch[1] Batch [540-560]	Speed: 16.51 samples/sec	accuracy=0.633750
INFO:root:Epoch[1] Batch [560-580]	Speed: 16.53 samples/sec	accuracy=0.616250
INFO:root:Epoch[1] Batch [580-600]	Speed: 16.46 samples/sec	accuracy=0.641250
INFO:root:Epoch[1] Batch [600-620]	Speed: 16.45 samples/sec	accuracy=0.673750
INFO:root:Epoch[1] Batch [620-640]	Speed: 16.55 samples/sec	accuracy=0.656250
INFO:root:Epoch[1] Batch [640-660]	Speed: 16.46 samples/sec	accuracy=0.648750
INFO:root:Epoch[1] Batch [660-680]	Speed: 16.50 samples/sec	accuracy=0.668750
INFO:root:Epoch[1] Batch [680-700]	Speed: 16.43 samples/sec	accuracy=0.641250
INFO:root:Epoch[1] Batch [700-720]	Speed: 16.48 samples/sec	accuracy=0.657500
INFO:root:Epoch[1] Batch [720-740]	Speed: 16.52 samples/sec	accuracy=0.653750
INFO:root:Epoch[1] Batch [740-760]	Speed: 16.54 samples/sec	accuracy=0.653750
INFO:root:Epoch[1] Batch [760-780]	Speed: 16.53 samples/sec	accuracy=0.648750
INFO:root:Epoch[1] Batch [780-800]	Speed: 16.50 samples/sec	accuracy=0.671250
INFO:root:Epoch[1] Batch [800-820]	Speed: 16.55 samples/sec	accuracy=0.640000
INFO:root:Epoch[1] Batch [820-840]	Speed: 16.42 samples/sec	accuracy=0.646250
INFO:root:Epoch[1] Batch [840-860]	Speed: 16.52 samples/sec	accuracy=0.673750
INFO:root:Epoch[1] Batch [860-880]	Speed: 16.50 samples/sec	accuracy=0.671250
INFO:root:Epoch[1] Batch [880-900]	Speed: 16.51 samples/sec	accuracy=0.692500
INFO:root:Epoch[1] Batch [900-920]	Speed: 16.47 samples/sec	accuracy=0.678750
INFO:root:Epoch[1] Batch [920-940]	Speed: 16.54 samples/sec	accuracy=0.676250
INFO:root:Epoch[1] Batch [940-960]	Speed: 16.53 samples/sec	accuracy=0.677500
INFO:root:Epoch[1] Batch [960-980]	Speed: 16.55 samples/sec	accuracy=0.687500
INFO:root:Epoch[1] Batch [980-1000]	Speed: 16.53 samples/sec	accuracy=0.668750
INFO:root:Epoch[1] Batch [1000-1020]	Speed: 16.50 samples/sec	accuracy=0.662500
INFO:root:Epoch[1] Batch [1020-1040]	Speed: 16.48 samples/sec	accuracy=0.698750
INFO:root:Epoch[1] Batch [1040-1060]	Speed: 16.50 samples/sec	accuracy=0.652500
INFO:root:Epoch[1] Batch [1060-1080]	Speed: 16.54 samples/sec	accuracy=0.667500
INFO:root:Epoch[1] Batch [1080-1100]	Speed: 16.50 samples/sec	accuracy=0.711250
INFO:root:Epoch[1] Batch [1100-1120]	Speed: 16.45 samples/sec	accuracy=0.691250
INFO:root:Epoch[1] Batch [1120-1140]	Speed: 16.56 samples/sec	accuracy=0.685000
